timestamp,threads_connected,threads_running,questions,slow_queries
10:18:27,11	2	763	0
10:18:36,11	3	1661	0
10:18:44,11	2	3472	0
10:18:52,11	2	5245	0
10:19:00,11	2	6932	0
10:19:08,11	6	10395	0
10:19:17,11	3	15323	0
10:19:25,11	2	19949	0
10:19:33,11	2	24856	0
10:19:41,11	2	29998	0
10:19:49,11	2	35277	0
10:19:58,11	3	40728	0
10:20:06,11	2	46084	0
10:20:14,11	2	51373	0
10:20:22,11	2	57096	0
10:20:30,11	2	63273	0
10:20:39,11	2	69326	0
10:20:47,11	2	75615	0
10:20:56,11	3	81753	0
10:21:04,11	2	87568	0
10:21:12,11	2	93762	0
10:21:20,11	2	100067	0
10:21:29,11	2	106414	0
10:21:37,11	2	112954	0
10:21:45,11	2	119518	0
10:21:54,11	2	125977	0
10:22:02,11	2	133036	0
10:22:10,11	2	140001	0
10:22:19,11	2	147378	0
10:22:27,11	2	154882	0
10:22:36,11	2	162338	0
10:22:44,11	2	169400	0
10:22:52,11	2	177253	0
10:23:00,11	2	185344	0
10:23:09,11	2	193506	0
10:23:17,11	2	201626	0
10:23:26,11	6	210038	0
