timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
16:05:39,qa-k6-run-a951cde4cf94,2.53,66.96MiB on 15.26GiB,0.43,168kB on 87.4kB,0B on 0B
16:05:39,qa-gateway-1,12.68,178.8MiB on 768MiB,23.28,236kB on 298kB,0B on 201kB
16:05:39,qa-userapi-1,90.51,352.1MiB on 1GiB,34.39,353kB on 301kB,0B on 102kB
16:05:39,qa-orderapi-1,27.65,316.9MiB on 1GiB,30.95,308kB on 306kB,0B on 102kB
16:05:39,qa-orderapi-2,16.89,320.7MiB on 1GiB,31.31,261kB on 263kB,0B on 102kB
16:05:39,qa-eureka-1,0.94,210.1MiB on 512MiB,41.03,28.5kB on 121kB,0B on 119kB
16:05:39,qa-mysql-user-1,2.11,400.3MiB on 15.26GiB,2.56,178kB on 239kB,131kB on 284MB
16:05:39,qa-redis-1,0.54,3.449MiB on 15.26GiB,0.02,48.3kB on 12.7kB,0B on 0B
16:05:39,qa-mysql-order-1,1.84,405MiB on 15.26GiB,2.59,288kB on 314kB,131kB on 279MB
16:05:39,qa-kafka-1,79.75,429.2MiB on 15.26GiB,2.75,244kB on 217kB,0B on 1.8MB
16:06:33,qa-k6-run-a951cde4cf94,26.07,117.8MiB on 15.26GiB,0.75,9.42MB on 8.71MB,0B on 0B
16:06:33,qa-gateway-1,36.37,202.9MiB on 768MiB,26.42,17.7MB on 21.9MB,0B on 238kB
16:06:33,qa-userapi-1,55.83,375.3MiB on 1GiB,36.65,8.79MB on 6.55MB,0B on 139kB
16:06:33,qa-orderapi-1,213.14,402.7MiB on 1GiB,39.32,24.1MB on 22.9MB,0B on 139kB
16:06:33,qa-orderapi-2,205.93,376.1MiB on 1GiB,36.73,23.8MB on 22.8MB,0B on 139kB
16:06:33,qa-eureka-1,2.31,213MiB on 512MiB,41.59,39.8kB on 179kB,0B on 156kB
16:06:33,qa-mysql-user-1,26.42,402.5MiB on 15.26GiB,2.58,5.69MB on 7.17MB,131kB on 321MB
16:06:33,qa-redis-1,9.27,7.23MiB on 15.26GiB,0.05,10.3MB on 5.11MB,0B on 840kB
16:06:33,qa-mysql-order-1,88.19,464MiB on 15.26GiB,2.97,24.3MB on 29.3MB,131kB on 421MB
16:06:33,qa-kafka-1,17.03,421.5MiB on 15.26GiB,2.70,2.85MB on 2.56MB,0B on 3.33MB
16:07:25,qa-k6-run-a951cde4cf94,46.26,174.4MiB on 15.26GiB,1.12,29.7MB on 27.7MB,0B on 0B
16:07:25,qa-gateway-1,57.17,231.6MiB on 768MiB,30.15,57.2MB on 70.6MB,0B on 287kB
16:07:25,qa-userapi-1,71.32,380.4MiB on 1GiB,37.15,19.8MB on 15.1MB,0B on 188kB
16:07:25,qa-orderapi-1,195.61,484.6MiB on 1GiB,47.32,76.2MB on 71.5MB,0B on 188kB
16:07:25,qa-orderapi-2,192.46,449MiB on 1GiB,43.85,75.2MB on 70.6MB,0B on 188kB
16:07:25,qa-eureka-1,4.47,213.6MiB on 512MiB,41.71,50.9kB on 236kB,0B on 205kB
16:07:25,qa-mysql-user-1,24.75,406.8MiB on 15.26GiB,2.60,13.4MB on 16.8MB,131kB on 392MB
16:07:25,qa-redis-1,12.46,15.98MiB on 15.26GiB,0.10,33.5MB on 16.4MB,0B on 7.4MB
16:07:25,qa-mysql-order-1,118.46,485.4MiB on 15.26GiB,3.11,74.8MB on 92.2MB,131kB on 657MB
16:07:25,qa-kafka-1,13.07,450.7MiB on 15.26GiB,2.88,6.56MB on 5.26MB,0B on 6.61MB
16:08:15,qa-k6-run-a951cde4cf94,33.50,187.1MiB on 15.26GiB,1.20,54.5MB on 50.8MB,0B on 0B
16:08:15,qa-gateway-1,58.44,231.7MiB on 768MiB,30.17,104MB on 130MB,0B on 324kB
16:08:15,qa-userapi-1,21.87,384.7MiB on 1GiB,37.56,30.9MB on 23.7MB,0B on 225kB
16:08:15,qa-orderapi-1,198.45,510.4MiB on 1GiB,49.84,137MB on 128MB,0B on 225kB
16:08:15,qa-orderapi-2,176.47,450.6MiB on 1GiB,44.01,138MB on 128MB,0B on 225kB
16:08:15,qa-eureka-1,1.22,213.9MiB on 512MiB,41.77,58.3kB on 282kB,0B on 242kB
16:08:15,qa-mysql-user-1,26.42,408.7MiB on 15.26GiB,2.62,21MB on 26.5MB,131kB on 444MB
16:08:15,qa-redis-1,13.66,25.19MiB on 15.26GiB,0.16,61.3MB on 29.9MB,0B on 22.5MB
16:08:15,qa-mysql-order-1,116.50,509.7MiB on 15.26GiB,3.26,134MB on 167MB,131kB on 968MB
16:08:15,qa-kafka-1,7.12,538.3MiB on 15.26GiB,3.44,10.1MB on 7.62MB,0B on 9.2MB
16:09:05,qa-k6-run-a951cde4cf94,33.46,194MiB on 15.26GiB,1.24,78.2MB on 72.7MB,0B on 0B
16:09:05,qa-gateway-1,43.27,232.3MiB on 768MiB,30.25,148MB on 184MB,0B on 360kB
16:09:05,qa-userapi-1,15.38,384.9MiB on 1GiB,37.59,39.4MB on 31MB,0B on 262kB
16:09:05,qa-orderapi-1,177.68,522.8MiB on 1GiB,51.05,194MB on 181MB,0B on 262kB
16:09:05,qa-orderapi-2,174.86,454.7MiB on 1GiB,44.40,195MB on 181MB,0B on 262kB
16:09:05,qa-eureka-1,3.07,214.1MiB on 512MiB,41.81,68.9kB on 331kB,0B on 279kB
16:09:05,qa-mysql-user-1,18.94,410.1MiB on 15.26GiB,2.62,27.5MB on 34.7MB,131kB on 489MB
16:09:05,qa-redis-1,12.20,34.91MiB on 15.26GiB,0.22,87.1MB on 42.4MB,0B on 22.5MB
16:09:05,qa-mysql-order-1,103.46,528.5MiB on 15.26GiB,3.38,188MB on 235MB,131kB on 1.29GB
16:09:05,qa-kafka-1,7.67,551.5MiB on 15.26GiB,3.53,13.5MB on 8.86MB,0B on 11.7MB
16:10:00,qa-k6-run-a951cde4cf94,38.87,200.2MiB on 15.26GiB,1.28,103MB on 95.7MB,0B on 0B
16:10:00,qa-gateway-1,51.23,232.3MiB on 768MiB,30.25,195MB on 242MB,0B on 410kB
16:10:00,qa-userapi-1,89.97,385.6MiB on 1GiB,37.66,50MB on 39.2MB,0B on 311kB
