timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
10:11:19,qa-eureka-1,1.66,210.1MiB on 512MiB,41.03,34.9kB on 208kB,0B on 135kB
10:11:19,qa-mysql-order-1,21.56,407.4MiB on 15.26GiB,2.61,3.92MB on 5.03MB,131kB on 306MB
10:11:19,qa-redis-1,5.09,4.047MiB on 15.26GiB,0.03,1.54MB on 807kB,0B on 0B
10:11:19,qa-mysql-user-1,10.58,404.9MiB on 15.26GiB,2.59,1.11MB on 1.87MB,131kB on 299MB
10:11:19,qa-kafka-1,8.95,414.6MiB on 15.26GiB,2.65,666kB on 506kB,0B on 2.19MB
10:11:27,qa-k6-run-a4819b779e3c,8.78,94.92MiB on 15.26GiB,0.61,3.37MB on 2.57MB,0B on 0B
10:11:27,qa-gateway-1,18.25,212.4MiB on 768MiB,27.65,5.84MB on 7.13MB,0B on 229kB
10:11:27,qa-orderapi-1,54.45,362.9MiB on 1GiB,35.44,10.4MB on 9.47MB,0B on 127kB
10:11:27,qa-userapi-1,200.34,368.8MiB on 1GiB,36.01,3.3MB on 2.43MB,0B on 131kB
10:11:27,qa-eureka-1,1.71,210.2MiB on 512MiB,41.05,36.6kB on 226kB,0B on 147kB
10:11:27,qa-mysql-order-1,16.21,407.6MiB on 15.26GiB,2.61,4.89MB on 6.4MB,131kB on 313MB
10:11:27,qa-redis-1,1.91,4.172MiB on 15.26GiB,0.03,1.95MB on 1.05MB,0B on 0B
10:11:27,qa-mysql-user-1,5.48,404.9MiB on 15.26GiB,2.59,1.28MB on 2.2MB,131kB on 301MB
10:11:27,qa-kafka-1,4.92,414.9MiB on 15.26GiB,2.65,782kB on 556kB,0B on 2.42MB
10:11:35,qa-k6-run-a4819b779e3c,10.36,96.12MiB on 15.26GiB,0.61,4.07MB on 3.09MB,0B on 0B
10:11:35,qa-gateway-1,23.44,216.7MiB on 768MiB,28.22,7.04MB on 8.58MB,0B on 229kB
10:11:35,qa-orderapi-1,95.43,376.7MiB on 1GiB,36.79,13MB on 11.7MB,0B on 127kB
10:11:35,qa-userapi-1,203.47,386MiB on 1GiB,37.69,3.77MB on 2.77MB,0B on 131kB
10:11:35,qa-eureka-1,1.16,210.2MiB on 512MiB,41.06,37.7kB on 238kB,0B on 147kB
10:11:35,qa-mysql-order-1,20.63,408.4MiB on 15.26GiB,2.61,5.88MB on 7.83MB,131kB on 320MB
10:11:35,qa-redis-1,2.10,4.328MiB on 15.26GiB,0.03,2.38MB on 1.3MB,0B on 0B
10:11:35,qa-mysql-user-1,5.29,405MiB on 15.26GiB,2.59,1.46MB on 2.55MB,131kB on 303MB
10:11:35,qa-kafka-1,8.12,415.1MiB on 15.26GiB,2.66,898kB on 606kB,0B on 2.5MB
10:11:44,qa-k6-run-a4819b779e3c,9.79,98.99MiB on 15.26GiB,0.63,4.75MB on 3.6MB,0B on 0B
10:11:44,qa-gateway-1,43.11,220.8MiB on 768MiB,28.75,8.06MB on 9.83MB,0B on 242kB
10:11:44,qa-orderapi-1,94.51,377.8MiB on 1GiB,36.89,15.2MB on 13.7MB,0B on 139kB
10:11:44,qa-userapi-1,205.62,403.4MiB on 1GiB,39.40,4.34MB on 3.19MB,0B on 143kB
10:11:44,qa-eureka-1,2.75,210.5MiB on 512MiB,41.11,39.3kB on 256kB,0B on 160kB
10:11:44,qa-mysql-order-1,17.83,410.9MiB on 15.26GiB,2.63,6.85MB on 9.24MB,131kB on 336MB
10:11:44,qa-redis-1,2.03,4.441MiB on 15.26GiB,0.03,2.75MB on 1.53MB,0B on 0B
10:11:44,qa-mysql-user-1,7.35,405MiB on 15.26GiB,2.59,1.62MB on 2.87MB,131kB on 304MB
10:11:44,qa-kafka-1,81.41,415.5MiB on 15.26GiB,2.66,1.01MB on 651kB,0B on 2.73MB
10:11:52,qa-k6-run-a4819b779e3c,9.04,109.4MiB on 15.26GiB,0.70,5.48MB on 4.13MB,0B on 0B
10:11:52,qa-gateway-1,18.41,227.6MiB on 768MiB,29.63,9.3MB on 11.3MB,0B on 242kB
10:11:52,qa-orderapi-1,41.57,377.8MiB on 1GiB,36.89,17.5MB on 15.5MB,0B on 139kB
10:11:52,qa-userapi-1,204.93,416.7MiB on 1GiB,40.69,4.81MB on 3.53MB,0B on 143kB
10:11:52,qa-eureka-1,1.13,210.8MiB on 512MiB,41.17,42.8kB on 272kB,0B on 160kB
10:11:52,qa-mysql-order-1,16.00,411.3MiB on 15.26GiB,2.63,7.93MB on 10.9MB,131kB on 342MB
10:11:52,qa-redis-1,2.01,4.621MiB on 15.26GiB,0.03,3.28MB on 1.86MB,0B on 0B
10:11:52,qa-mysql-user-1,4.61,405.1MiB on 15.26GiB,2.59,1.77MB on 3.18MB,131kB on 305MB
10:11:52,qa-kafka-1,5.62,415.5MiB on 15.26GiB,2.66,1.13MB on 701kB,0B on 2.8MB
10:12:00,qa-k6-run-a4819b779e3c,7.80,111.4MiB on 15.26GiB,0.71,6.19MB on 4.65MB,0B on 0B
10:12:00,qa-gateway-1,15.46,232.7MiB on 768MiB,30.29,10.5MB on 12.8MB,0B on 254kB
10:12:00,qa-orderapi-1,44.22,379MiB on 1GiB,37.01,20MB on 17.6MB,0B on 152kB
10:12:00,qa-userapi-1,196.86,431.8MiB on 1GiB,42.17,5.4MB on 3.96MB,0B on 156kB
10:12:00,qa-eureka-1,7.77,211.1MiB on 512MiB,41.22,44.5kB on 290kB,0B on 172kB
10:12:00,qa-mysql-order-1,14.69,411.9MiB on 15.26GiB,2.64,8.96MB on 12.4MB,131kB on 348MB
10:12:00,qa-redis-1,2.00,4.738MiB on 15.26GiB,0.03,3.75MB on 2.16MB,0B on 0B
10:12:00,qa-mysql-user-1,8.70,405.1MiB on 15.26GiB,2.59,1.93MB on 3.51MB,131kB on 306MB
10:12:00,qa-kafka-1,4.00,416MiB on 15.26GiB,2.66,1.23MB on 742kB,0B on 3.03MB
10:12:09,qa-k6-run-a4819b779e3c,9.36,114.8MiB on 15.26GiB,0.73,6.9MB on 5.16MB,0B on 0B
