timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
16:18:09,qa-kafka-1,67.54,583.1MiB on 15.26GiB,3.73,17MB on 10.5MB,0B on 13.5MB
16:19:10,qa-k6-run-1a8906486f7f,42.47,210.6MiB on 15.26GiB,1.35,117MB on 109MB,0B on 0B
16:19:10,qa-gateway-1,78.00,238.6MiB on 768MiB,31.07,225MB on 281MB,0B on 381kB
16:19:10,qa-orderapi-3,158.01,434.2MiB on 1GiB,42.41,149MB on 139MB,0B on 279kB
16:19:10,qa-orderapi-2,161.30,484.8MiB on 1GiB,47.35,151MB on 140MB,0B on 279kB
16:19:10,qa-orderapi-1,149.99,472MiB on 1GiB,46.09,149MB on 139MB,0B on 291kB
16:19:10,qa-orderapi-4,149.06,455MiB on 1GiB,44.43,149MB on 139MB,0B on 287kB
16:19:10,qa-userapi-1,17.74,388.8MiB on 1GiB,37.97,39.1MB on 29.9MB,0B on 279kB
16:19:10,qa-redis-1,23.10,53.68MiB on 15.26GiB,0.34,129MB on 64.8MB,0B on 57.8MB
16:19:10,qa-eureka-1,15.10,210.9MiB on 512MiB,41.20,89.1kB on 369kB,0B on 299kB
16:19:10,qa-mysql-user-1,29.92,408.1MiB on 15.26GiB,2.61,26.9MB on 33MB,131kB on 473MB
16:19:10,qa-mysql-order-1,176.57,581.7MiB on 15.26GiB,3.72,292MB on 363MB,131kB on 1.76GB
16:19:10,qa-kafka-1,21.28,643.7MiB on 15.26GiB,4.12,24.2MB on 14.2MB,0B on 18.7MB
16:20:33,qa-k6-run-1a8906486f7f,25.37,216.6MiB on 15.26GiB,1.39,166MB on 153MB,0B on 0B
16:20:33,qa-gateway-1,20.97,238.5MiB on 768MiB,31.05,316MB on 393MB,0B on 455kB
16:20:33,qa-orderapi-3,43.79,437.4MiB on 1GiB,42.71,209MB on 195MB,0B on 352kB
16:20:33,qa-orderapi-2,58.72,491.2MiB on 1GiB,47.97,213MB on 197MB,0B on 352kB
16:20:33,qa-orderapi-1,43.41,474.6MiB on 1GiB,46.35,210MB on 196MB,0B on 365kB
16:20:33,qa-orderapi-4,45.59,457.7MiB on 1GiB,44.70,210MB on 196MB,0B on 360kB
16:20:33,qa-userapi-1,17.82,389.4MiB on 1GiB,38.02,51.2MB on 39.4MB,0B on 352kB
16:20:33,qa-redis-1,8.20,71.08MiB on 15.26GiB,0.45,182MB on 91.1MB,1.62MB on 98.3MB
16:20:33,qa-eureka-1,1.81,213.8MiB on 512MiB,41.76,105kB on 428kB,0B on 373kB
16:20:33,qa-mysql-user-1,24.26,408.9MiB on 15.26GiB,2.62,35.5MB on 43.6MB,512kB on 528MB
16:20:33,qa-mysql-order-1,80.82,596.2MiB on 15.26GiB,3.81,410MB on 511MB,1.87MB on 2.57GB
16:20:33,qa-kafka-1,13.44,700.3MiB on 15.26GiB,4.48,33.9MB on 19.7MB,0B on 26.3MB
