timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
10:26:18,qa-k6-run-9cc3f2e08572,2.26,70.62MiB on 15.26GiB,0.45,58.8kB on 34.2kB,0B on 0B
10:26:18,qa-gateway-1,6.61,177.9MiB on 768MiB,23.17,87.9kB on 83.6kB,0B on 209kB
10:26:18,qa-orderapi-1,5.36,309.8MiB on 1GiB,30.25,191kB on 188kB,0B on 111kB
10:26:18,qa-userapi-1,47.87,337MiB on 1GiB,32.91,212kB on 188kB,0B on 115kB
10:26:18,qa-eureka-1,1.76,208.6MiB on 512MiB,40.74,41.5kB on 160kB,0B on 131kB
10:26:18,qa-mysql-user-1,0.87,400.2MiB on 15.26GiB,2.56,129kB on 151kB,131kB on 288MB
10:26:18,qa-redis-1,0.31,3.414MiB on 15.26GiB,0.02,9.38kB on 1.72kB,0B on 0B
10:26:18,qa-mysql-order-1,0.66,416.8MiB on 15.26GiB,2.67,335kB on 361kB,131kB on 285MB
10:26:18,qa-kafka-1,5.06,416.3MiB on 15.26GiB,2.66,306kB on 265kB,0B on 1.6MB
10:26:27,qa-k6-run-9cc3f2e08572,5.11,75.96MiB on 15.26GiB,0.49,198kB on 166kB,0B on 0B
10:26:27,qa-gateway-1,38.25,184.2MiB on 768MiB,23.99,317kB on 315kB,0B on 221kB
10:26:27,qa-orderapi-1,15.33,315.5MiB on 1GiB,30.81,277kB on 273kB,0B on 123kB
10:26:27,qa-userapi-1,186.03,351.8MiB on 1GiB,34.35,416kB on 340kB,0B on 127kB
10:26:27,qa-eureka-1,0.85,208.5MiB on 512MiB,40.72,43.4kB on 174kB,0B on 143kB
10:26:27,qa-mysql-user-1,3.23,401.6MiB on 15.26GiB,2.57,196kB on 278kB,131kB on 289MB
10:26:27,qa-redis-1,0.53,3.426MiB on 15.26GiB,0.02,26.3kB on 6.42kB,0B on 0B
10:26:27,qa-mysql-order-1,1.34,419MiB on 15.26GiB,2.68,369kB on 399kB,131kB on 286MB
10:26:27,qa-kafka-1,5.12,417.1MiB on 15.26GiB,2.67,324kB on 283kB,0B on 1.68MB
