timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
13:41:35,qa-gateway-1,35.97,182MiB on 768MiB,23.70,80kB on 92.1kB,0B on 184kB
13:41:35,qa-userapi-1,138.03,352.5MiB on 1GiB,34.43,206kB on 185kB,0B on 81.9kB
13:41:35,qa-orderapi-1,151.96,320.1MiB on 1GiB,31.26,252kB on 243kB,0B on 81.9kB
13:41:35,qa-orderapi-2,98.59,309.3MiB on 1GiB,30.21,190kB on 186kB,0B on 81.9kB
13:41:35,qa-mysql-user-1,5.13,401.3MiB on 15.26GiB,2.57,126kB on 142kB,131kB on 288MB
13:41:35,qa-redis-1,2.76,5.125MiB on 15.26GiB,0.03,23.2kB on 9.66kB,0B on 0B
13:41:35,qa-eureka-1,3.60,210.8MiB on 512MiB,41.18,28.2kB on 121kB,0B on 106kB
13:41:35,qa-mysql-order-1,12.23,407MiB on 15.26GiB,2.60,233kB on 256kB,131kB on 288MB
13:41:35,qa-kafka-1,15.74,394.4MiB on 15.26GiB,2.52,202kB on 183kB,0B on 1.64MB
13:41:59,qa-k6-run-d53eee24e329,15.18,88.68MiB on 15.26GiB,0.57,1.56MB on 1.2MB,0B on 0B
13:41:59,qa-gateway-1,19.57,199.3MiB on 768MiB,25.95,2.83MB on 3.46MB,0B on 197kB
13:41:59,qa-userapi-1,198.39,377.7MiB on 1GiB,36.88,1.87MB on 1.4MB,0B on 94.2kB
13:41:59,qa-orderapi-1,88.13,356.7MiB on 1GiB,34.83,2.9MB on 2.81MB,0B on 94.2kB
13:41:59,qa-orderapi-2,56.46,339.2MiB on 1GiB,33.12,2.61MB on 2.55MB,0B on 94.2kB
13:41:59,qa-mysql-user-1,4.46,403.9MiB on 15.26GiB,2.58,802kB on 1.28MB,131kB on 297MB
13:41:59,qa-redis-1,2.13,3.828MiB on 15.26GiB,0.02,921kB on 465kB,0B on 0B
13:41:59,qa-eureka-1,7.60,210.9MiB on 512MiB,41.20,31.6kB on 156kB,0B on 119kB
13:41:59,qa-mysql-order-1,17.16,410.1MiB on 15.26GiB,2.62,2.73MB on 3.28MB,131kB on 303MB
13:41:59,qa-kafka-1,8.06,411.3MiB on 15.26GiB,2.63,762kB on 508kB,0B on 2.06MB
13:42:22,qa-k6-run-d53eee24e329,9.17,93.74MiB on 15.26GiB,0.60,3.49MB on 2.67MB,0B on 0B
13:42:22,qa-gateway-1,15.55,208.2MiB on 768MiB,27.11,6.04MB on 7.37MB,0B on 221kB
13:42:22,qa-userapi-1,213.72,384.5MiB on 1GiB,37.55,3.28MB on 2.43MB,0B on 119kB
13:42:22,qa-orderapi-1,45.63,357.9MiB on 1GiB,34.95,6MB on 5.69MB,0B on 119kB
13:42:22,qa-orderapi-2,37.41,343.3MiB on 1GiB,33.53,5.72MB on 5.42MB,0B on 119kB
13:42:22,qa-mysql-user-1,8.99,404MiB on 15.26GiB,2.58,1.26MB on 2.19MB,131kB on 299MB
13:42:22,qa-redis-1,4.50,4.238MiB on 15.26GiB,0.03,2.04MB on 1.1MB,0B on 0B
13:42:22,qa-eureka-1,1.10,211.2MiB on 512MiB,41.25,37.7kB on 190kB,0B on 143kB
13:42:22,qa-mysql-order-1,20.17,411.5MiB on 15.26GiB,2.63,5.59MB on 7.1MB,131kB on 325MB
