timestamp,threads_connected,threads_running,questions,slow_queries
10:26:10,11	2	1344	0
10:26:18,11	2	1437	0
10:26:27,11	2	1672	0
10:26:34,11	2	2045	0
10:26:43,11	2	2603	0
10:26:51,11	2	5483	0
10:27:00,11	3	10280	0
10:27:08,11	2	15159	0
10:27:17,11	2	20226	0
10:27:25,11	2	25103	0
10:27:34,11	2	30370	0
10:27:43,11	2	35558	0
10:27:51,11	2	40798	0
10:28:00,11	2	46312	0
10:28:08,11	2	51982	0
10:28:17,11	2	57253	0
10:28:25,11	2	63360	0
10:28:33,11	2	69518	0
10:28:42,11	2	75841	0
10:28:51,11	2	82324	0
10:28:59,11	2	88619	0
10:29:08,11	2	94278	0
10:29:16,11	2	99970	0
10:29:24,11	4	106208	0
10:29:32,11	4	112783	0
10:29:41,11	4	119329	0
10:29:50,11	4	126089	0
10:29:59,11	2	133148	0
10:30:07,11	2	140015	0
10:30:16,11	2	146575	0
10:30:24,11	2	153958	0
10:30:33,11	2	161671	0
10:30:42,11	2	169011	0
10:30:50,11	3	176921	0
10:30:59,11	2	184766	0
10:31:08,11	7	192153	0
10:31:16,11	3	197156	0
