timestamp,threads_connected,threads_running,questions
07:30:24,41	2	1313896
07:30:32,41	2	1314027
07:30:40,41	2	1314158
07:30:48,41	2	1314285
07:30:56,41	5	1317253
07:31:04,41	13	1382237
07:31:12,41	7	1451196
07:31:21,41	35	1517048
07:31:29,41	8	1585403
07:31:37,41	18	1646922
07:31:45,41	18	1718076
07:31:53,41	11	1789015
07:32:02,41	7	1858588
07:32:10,41	8	1926137
07:32:18,41	8	1991659
07:32:26,41	22	2064365
07:32:35,41	16	2137686
07:32:43,41	14	2207159
07:32:52,41	10	2271765
07:32:59,41	15	2339149
07:33:07,41	12	2405869
07:33:15,41	24	2481701
07:33:24,41	5	2550521
07:33:32,41	18	2618934
07:33:41,41	9	2685759
07:33:48,41	13	2752104
07:33:56,41	12	2824746
07:34:05,41	9	2896586
07:34:13,41	21	2969104
07:34:22,41	15	3034119
07:34:29,41	10	3101289
07:34:37,41	10	3168987
07:34:45,41	13	3243761
07:34:54,41	17	3312755
07:35:02,41	14	3385033
07:35:11,41	20	3459053
07:35:19,41	15	3525687
07:35:27,41	13	3595108
07:35:35,41	18	3668171
07:35:44,41	11	3740115
07:35:52,41	28	3812458
07:36:01,41	3	3843161
07:36:08,41	4	3851154
