timestamp,threads_connected,threads_running,questions
16:02:32,11	2	661799
16:02:40,11	2	661834
16:02:48,11	2	661865
16:02:55,11	2	661900
16:03:03,11	2	663990
16:03:11,11	9	688487
16:03:19,11	10	715405
16:03:27,11	10	740624
16:03:35,11	2	767497
16:03:43,11	11	795103
16:03:51,11	6	822403
16:03:59,11	2	849382
16:04:07,11	11	874509
16:04:15,11	10	901379
16:04:23,11	2	928716
16:04:31,11	6	956417
16:04:39,11	7	983379
16:04:47,11	2	1009092
16:04:55,11	9	1035902
16:05:03,11	9	1062492
16:05:11,11	2	1089664
16:05:19,11	3	1116774
16:05:27,11	2	1142819
16:05:35,11	2	1169346
16:05:43,11	10	1196166
16:05:51,11	2	1223307
16:05:59,11	6	1250242
16:06:07,11	9	1276727
16:06:15,11	2	1302446
16:06:23,11	8	1329659
16:06:31,11	5	1356793
16:06:39,11	2	1383877
16:06:47,11	4	1409827
16:06:55,11	2	1436557
16:07:03,11	4	1463783
16:07:11,11	3	1484590
16:07:19,11	3	1491673
