timestamp,threads_connected,threads_running,questions
09:41:17,41	2	1370153
09:41:25,41	2	1370276
09:41:32,41	2	1370407
09:41:40,41	2	1370538
09:41:48,41	2	1370677
09:41:57,41	9	1371040
09:42:05,41	13	1420920
09:42:13,41	10	1475742
09:42:21,41	18	1544678
09:42:29,41	18	1608010
09:42:38,41	11	1674463
09:42:46,41	11	1740947
09:42:55,41	14	1806083
09:43:04,41	9	1869931
09:43:12,41	34	1935336
09:43:20,41	9	2001268
09:43:29,41	10	2069014
09:43:38,41	20	2134131
09:43:46,41	12	2200945
09:43:55,41	8	2259839
09:44:03,41	12	2323259
09:44:11,41	31	2387900
09:44:19,41	9	2454003
09:44:28,41	5	2520679
09:44:36,41	27	2586253
09:44:45,41	19	2644892
09:44:54,41	10	2705150
09:45:02,41	13	2766422
09:45:10,41	7	2831746
09:45:19,41	18	2896647
09:45:28,41	10	2957024
09:45:36,41	14	3020424
09:45:45,41	13	3081716
09:45:54,41	17	3141638
09:46:02,41	12	3205921
09:46:11,41	21	3265347
09:46:19,41	19	3332175
09:46:28,41	6	3400678
09:46:36,41	16	3467764
09:46:45,41	12	3532150
09:46:53,41	13	3594037
09:47:01,41	3	3637611
09:47:09,41	3	3645551
09:47:17,41	3	3654046
09:47:25,41	3	3662801
