timestamp,threads_connected,threads_running,questions
15:05:07,41	2	676064
15:05:15,41	2	676183
15:05:23,41	2	676314
15:05:30,41	2	676445
15:05:39,41	2	676576
15:05:47,41	15	697721
15:05:55,41	11	755929
15:06:04,41	6	811879
15:06:13,41	13	870171
15:06:22,41	15	924816
15:06:31,41	10	984166
15:06:40,41	18	1048604
15:06:48,41	8	1108132
15:06:57,41	14	1172517
15:07:06,41	9	1239994
15:07:14,41	10	1305710
15:07:23,41	10	1368494
15:07:31,41	16	1435954
15:07:40,41	10	1501694
15:07:48,41	2	1523803
15:07:56,41	3	1532877
