timestamp,app,instance_count,instance_ids
13:41:35,ORDER-API,1,order-api:2340c308e0ad:8080|
13:41:35,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:41:35,GATEWAY,1,20a4d578d108:gateway:80|
13:41:59,ORDER-API,1,order-api:2340c308e0ad:8080|
13:41:59,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:41:59,GATEWAY,1,20a4d578d108:gateway:80|
13:42:22,ORDER-API,1,order-api:2340c308e0ad:8080|
13:42:22,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:42:22,GATEWAY,1,20a4d578d108:gateway:80|
13:42:46,ORDER-API,1,order-api:2340c308e0ad:8080|
13:42:46,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:42:46,GATEWAY,1,20a4d578d108:gateway:80|
13:43:18,ORDER-API,1,order-api:2340c308e0ad:8080|
13:43:18,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:43:18,GATEWAY,1,20a4d578d108:gateway:80|
13:43:47,ORDER-API,1,order-api:2340c308e0ad:8080|
13:43:47,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:43:47,GATEWAY,1,20a4d578d108:gateway:80|
13:44:17,ORDER-API,1,order-api:2340c308e0ad:8080|
13:44:17,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:44:17,GATEWAY,1,20a4d578d108:gateway:80|
13:44:42,ORDER-API,1,order-api:2340c308e0ad:8080|
13:44:42,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:44:42,GATEWAY,1,20a4d578d108:gateway:80|
13:45:05,ORDER-API,1,order-api:2340c308e0ad:8080|
13:45:05,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:45:05,GATEWAY,1,20a4d578d108:gateway:80|
13:45:28,ORDER-API,1,order-api:2340c308e0ad:8080|
13:45:28,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:45:28,GATEWAY,1,20a4d578d108:gateway:80|
13:46:02,ORDER-API,1,order-api:2340c308e0ad:8080|
13:46:02,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:46:02,GATEWAY,1,20a4d578d108:gateway:80|
13:46:33,ORDER-API,1,order-api:2340c308e0ad:8080|
13:46:33,USER-API,1,user-api:e4dfcfe04a7f:8080|
13:46:33,GATEWAY,1,20a4d578d108:gateway:80|
